Thu. Oct. 20, 2016             LANDSAT 5                 Time: 16:14
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20592208            Path/Row: 231 / 062

L0R Reference Image: L51CUB1009253130101_HDF.162941603
Acquisition Date: Sep 10, 2009

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
231   062   08-11-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2310620001_01   -3.224333  -60.002359    -2.206       1.266    -2.097     1.559    -1.892
2310620002_01   -3.308663  -61.113415     9.953       1.032     1.677     0.776     1.810
2310620004_01   -3.131046  -61.146934     1.383      -1.002     1.451    -1.204     1.290
2310620005_01   -2.990962  -60.100617     2.423       0.208    -1.555     0.433    -1.509
2310620006_01   -3.265953  -60.915406     2.516       1.161     2.716     0.753     2.857
2310620007_01   -3.050118  -59.836248     8.648      -5.563     0.206    -5.539    -0.606
2310620008_01   -3.295976  -60.636327     3.499      -1.710    -2.960    -1.261    -3.179
2310620010_01   -3.424465  -60.310346     9.703      -0.506     1.278    -0.687     1.192
2310620011_01   -3.122233  -60.031234     5.909      -2.020     0.352    -2.051     0.054
2310620012_01   -2.921930  -60.031510    34.236      -1.674    -2.336    -1.317    -2.557
2310620013_01   -3.699549  -60.193511    11.538       4.178     3.699     3.596     4.272
2310620014_01   -2.905519  -59.976020    70.933      -0.186    -2.802     0.224    -2.802
2310620015_01   -3.178404  -60.944457    11.145       3.626    -1.196     3.762    -0.655
2310620016_01   -3.439173  -60.239893     8.628       2.829     3.830     2.242     4.205
2310620017_01   -3.090632  -59.974972    37.428       2.697    -0.465     2.738    -0.068
2310620018_01   -3.296761  -61.131251     1.907       0.984    -3.803     1.527    -3.619
2310620019_01   -3.328646  -61.210007    12.903       0.102    -1.758     0.356    -1.724
2310620020_01   -3.528077  -60.234777     9.061       1.982    -0.738     2.070    -0.442
2310620021_01   -2.806167  -60.021295    32.759      -1.434    -3.134    -0.964    -3.313
2310620023_01   -3.579941  -61.406102    12.692      -2.653    -0.963    -2.484    -1.340
