==============================================================================
==============================================================================
Thu. Oct. 20 2016                  LANDSAT 5                       Time: 21:21
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501610196671_01358                          Path / Row - 231 / 62
Reference Image: L51CUB1009253130101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2310620093   -2.01367    -61.14315     0.14     -0.31     0.33     1 
2310620167   -2.03866    -61.17117     0.08     -0.19     0.21     1 
2310620169   -2.03860    -61.11509     0.02     -0.17     0.17     1 
2310620170   -2.03857    -61.08704    -0.00     -0.20     0.20     1 
2310620171   -2.03853    -61.05900    -0.01     -0.23     0.23     1 
2310620172   -2.03850    -61.03096     0.09     -0.18     0.20     1 
2310620173   -2.03846    -61.00292    -0.02     -0.30     0.30     1 
2310620174   -2.03843    -60.97489    -0.21     -0.23     0.31     1 
2310620243   -2.06359    -61.14310    -0.04     -0.33     0.33     1 
2310620244   -2.06356    -61.11505    -0.06     -0.26     0.27     1 
2310620245   -2.06352    -61.08701    -0.06     -0.24     0.25     1 
2310620246   -2.06349    -61.05897    -0.09     -0.15     0.17     1 
2310620247   -2.06345    -61.03093    -0.09     -0.19     0.21     1 
2310620248   -2.06342    -61.00289    -0.03     -0.34     0.34     1 
2310620249   -2.06338    -60.97485     0.07     -0.27     0.27     1 
2310620253   -2.06323    -60.86270    -0.06     -0.22     0.23     1 
2310620254   -2.06320    -60.83467    -0.07     -0.21     0.22     1 
2310620315   -2.08864    -61.22720     0.06     -0.31     0.32     1 
2310620318   -2.08854    -61.14307     0.35     -0.12     0.37     1 
2310620319   -2.08851    -61.11503    -0.02     -0.26     0.26     1 
2310620320   -2.08848    -61.08698    -0.14     -0.29     0.32     1 
2310620321   -2.08844    -61.05894     0.13     -0.22     0.25     1 
2310620322   -2.08841    -61.03090    -0.03     -0.26     0.26     1 
2310620323   -2.08837    -61.00286    -0.19     -0.23     0.30     1 
2310620324   -2.08834    -60.97482    -0.06     -0.36     0.37     1 
2310620325   -2.08830    -60.94678    -0.29     -0.20     0.35     1 
2310620327   -2.08822    -60.89071     0.06      0.04     0.07     1 
2310620328   -2.08819    -60.86267    -0.17     -0.17     0.24     1 
2310620329   -2.08815    -60.83463    -0.05     -0.07     0.09     1 
2310620330   -2.08811    -60.80659    -0.01     -0.03     0.03     1 
2310620331   -2.08807    -60.77856    -0.18     -0.02     0.18     1 
2310620332   -2.08803    -60.75052    -0.22     -0.04     0.22     1 
2310620333   -2.08799    -60.72249    -0.03     -0.10     0.10     1 
2310620334   -2.08795    -60.69445    -0.17      0.04     0.18     1 
2310620335   -2.08791    -60.66642    -0.05     -0.19     0.19     1 
2310620336   -2.08786    -60.63838    -0.03     -0.03     0.04     1 
2310620390   -2.11360    -61.22717     0.12     -0.17     0.21     1 
2310620391   -2.11357    -61.19913     0.02     -0.07     0.07     1 
2310620393   -2.11350    -61.14304     0.08      0.05     0.10     1 
2310620394   -2.11347    -61.11500     0.28      0.08     0.29     1 
2310620395   -2.11343    -61.08695     0.00     -0.20     0.20     1 
2310620396   -2.11340    -61.05891    -0.10     -0.25     0.26     1 
2310620398   -2.11333    -61.00283     0.17     -0.27     0.32     1 
2310620399   -2.11329    -60.97479     0.09     -0.33     0.34     1 
2310620404   -2.11310    -60.83460    -0.02     -0.14     0.14     1 
2310620405   -2.11306    -60.80656    -0.01     -0.30     0.30     1 
2310620406   -2.11302    -60.77852    -0.23     -0.04     0.24     1 
2310620409   -2.11290    -60.69442     0.01     -0.06     0.06     1 
2310620410   -2.11286    -60.66638    -0.00     -0.07     0.07     1 
2310620411   -2.11281    -60.63835     0.00     -0.07     0.07     1 
2310620412   -2.11277    -60.61031    -0.10     -0.07     0.12     1 
2310620466   -2.13853    -61.19910    -0.13     -0.35     0.38     1 
